-14,-1
-5,0
-6,9
-5,9
-4,9
-3,9
-2,9
-1,9
0,9
1,9
2,9
3,9
4,9
-13,-1
-6,9
-5,9
-4,9
-3,9
-2,9
-1,9
0,9
1,9
2,9
3,9
4,9
-12,-1
-6,9
-5,9
3,9
4,9
-11,-1
-6,9
-5,9
3,9
4,9
-10,-1
-6,9
-5,9
3,9
4,9
-4,0
3,9
4,9
-3,0
3,9
4,9
-2,0
3,9
4,9
-1,0
3,9
4,9
0,0
5,9
-9,-1
-5,0
-14,9
-13,9
-12,9
-6,9
-5,9
-4,0
-14,9
-13,9
-12,9
-1,0
3,9
4,9
0,0
5,9
-8,-1
-5,0
-14,9
-13,9
-6,9
-5,9
-4,0
-12,9
-1,0
3,9
4,9
0,0
5,9
-7,-1
-5,0
-14,9
-13,9
-6,9
-5,9
-4,0
-12,9
-1,0
3,9
4,9
0,0
5,9
-6,-1
-5,0
-14,9
-13,9
-6,9
-5,9
-4,0
-12,9
-1,0
3,9
4,9
0,0
5,9
-5,-1
-5,0
-14,9
-13,9
-6,9
-5,9
-4,0
-12,9
-2,0
3,9
-1,0
3,9
4,9
0,0
5,9
-4,-1
-5,0
-14,9
-13,9
-12,9
-7,9
-6,9
-5,9
-4,9
-4,0
-12,9
-7,9
-4,9
-3,0
-7,9
-4,9
3,9
-2,0
-7,9
-4,9
3,9
4,9
-1,0
-7,9
-6,9
-5,9
-4,9
5,9
0,0
5,9
-3,-1
-5,0
-14,9
-6,9
-5,9
-4,0
3,9
-3,0
3,9
4,9
-2,0
5,9
-1,0
5,9
-2,-1
-5,0
-14,9
-6,9
-5,9
3,9
-4,0
3,9
4,9
-3,0
5,9
-2,0
5,9
-1,-1
-5,0
-14,9
-6,9
-5,9
3,9
4,9
-4,0
5,9
-3,0
5,9
0,-1
-5,0
-14,9
-6,9
-5,9
3,9
4,9
-4,0
5,9
-3,0
5,9
1,-1
-5,0
-14,9
-6,9
-5,9
3,9
4,9
-4,0
5,9
6,9
7,9
8,9
9,9
-3,0
5,9
6,9
7,9
8,9
9,9
2,-1
-5,0
-14,9
-6,9
-5,9
3,9
4,9
5,9
6,9
7,9
8,9
-4,0
9,9
-3,0
9,9
3,-1
-5,0
-14,9
-13,9
-12,9
-11,9
-10,9
-9,9
-8,9
-7,9
-6,9
-5,9
3,9
4,9
5,9
6,9
7,9
8,9
-4,0
9,9
-3,0
9,9
4,-1
-5,0
-14,9
-13,9
-12,9
-11,9
-10,9
-9,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
-4,0
-5,9
9,9
-3,0
-5,9
9,9
5,-1
-5,0
-14,9
-13,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
-4,0
-5,9
9,9
-3,0
-5,9
9,9
6,-1
-5,0
-14,9
-13,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
-4,0
-5,9
9,9
-3,0
-5,9
9,9
7,-1
-5,0
-14,9
-13,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
-4,0
-5,9
9,9
-3,0
-5,9
9,9
8,-1
-5,0
-14,9
-13,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
-4,0
-5,9
9,9
-3,0
-5,9
9,9
9,-1
-5,0
-14,9
-13,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
-4,0
-5,9
9,9
-3,0
-5,9
9,9
10,-1
-5,0
-14,9
-13,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
-4,0
-5,9
9,9
10,9
11,9
12,9
13,9
14,9
-3,0
-5,9
9,9
10,9
11,9
12,9
13,9
14,9
11,-1
-5,0
-14,9
-13,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
-4,0
-5,9
14,9
-3,0
-5,9
14,9
12,-1
-5,0
-14,9
-13,9
-8,9
-7,9
-6,9
-5,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
-4,0
-5,9
14,9
-3,0
-5,9
14,9
13,-1
-5,0
-14,9
-13,9
-12,9
-11,9
-10,9
-9,9
-8,9
-7,9
-6,9
-5,9
12,9
13,9
-4,0
-5,9
14,9
-3,0
-5,9
14,9
14,-1
-5,0
-14,9
-13,9
-12,9
-11,9
-10,9
-9,9
-8,9
-7,9
-6,9
-5,9
12,9
13,9
-4,0
-5,9
14,9
-3,0
-5,9
14,9
